"Name","PrinterHostAddress","PortType"
"COM1:",,
"COM2:",,
"COM3:",,
"COM4:",,
"FILE:",,
"LPT1:",,
"LPT2:",,
"LPT3:",,
"nul:",,
"PORTPROMPT:",,
"Microsoft.Office.OneNote_16001.14326.22594.0_x64__8wekyb3d8bbwe_microsoft.onenoteim_S-1-5-21-3731157283-2577858271-4212812487-1001",,
"Microsoft.Office.OneNote_16001.14326.22594.0_x64__8wekyb3d8bbwe_microsoft.onenoteim_S-1-5-21-3731157283-2577858271-4212812487-1005",,
"SHRFAX:",,
"USB001",,
"WSD-732ab452-ce3b-4788-9aee-6ffc2565c26b",,
